PART.;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
PT;3;0;0;2;7;2;2;1;2;1;11;3;1;3;1;3;1;6;7;1;2;0;8;5;1;18;0
PFL;0;2;3;0;19;2;1;0;3;7;7;1;1;1;1;5;4;2;4;2;1;3;1;2;2;7;3
PMDB;1;1;0;0;3;5;3;1;4;2;6;2;1;5;2;4;2;6;6;3;2;0;6;4;1;4;1
PSDB;0;1;0;1;2;8;0;2;5;2;8;0;3;4;3;3;2;5;5;0;1;0;1;0;1;11;2
PPB;2;0;0;1;2;1;0;2;3;1;4;0;1;1;1;3;0;4;6;1;0;1;6;4;1;3;1
PTB;0;2;1;1;1;0;0;1;0;0;2;1;0;1;2;0;0;3;1;1;1;0;3;0;0;5;0
PL;0;1;3;0;0;2;0;1;0;1;4;0;1;1;1;1;0;1;3;0;0;1;1;0;1;3;0
PSB;0;2;0;1;0;0;0;1;0;1;1;0;0;0;0;4;0;0;6;0;0;0;1;0;0;5;0
PDT;0;0;0;2;1;0;0;1;0;3;2;0;0;1;0;0;0;1;3;0;0;2;3;1;0;1;0
PPS;1;0;0;0;1;1;0;0;0;0;3;1;0;0;0;1;0;2;0;0;1;0;1;0;0;3;0
PC do B;1;0;1;0;2;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;2;0
PRONA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
PV;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
PSD;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
PST;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
PMN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
PSC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PSDC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PSL;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
