PARTIDO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
PMDB;1;3;1;2;1;6;2;4;5;3;7;2;1;6;3;3;2;8;10;1;2;1;5;5;0;3;2
PT;3;0;1;1;8;4;1;1;2;1;9;2;1;3;1;5;2;4;6;1;2;0;7;3;1;14;0
PSDB;0;0;0;0;2;5;0;1;4;4;7;1;1;3;3;2;1;4;3;0;0;1;2;1;1;18;2
PFL;0;2;1;1;13;0;2;0;1;2;6;0;0;2;1;3;2;5;5;1;0;2;2;3;3;5;3
PP;1;1;2;0;3;2;0;0;2;0;3;1;2;1;0;1;1;3;2;1;0;1;5;3;0;5;1
PSB;0;1;1;1;1;2;1;0;0;2;1;0;1;0;2;3;0;0;1;2;1;1;1;0;1;4;0
PDT;0;1;0;1;3;0;0;2;0;2;2;1;0;1;0;1;0;1;3;0;0;0;3;0;0;3;0
PL;0;0;0;0;3;1;0;1;1;0;6;0;1;0;2;1;0;2;1;1;0;1;0;0;0;2;0
PPS;1;0;0;1;2;0;1;0;0;0;4;1;1;0;0;1;0;2;3;0;1;0;1;1;0;2;0
PTB;0;0;1;0;0;1;1;0;2;1;0;0;0;0;0;3;1;1;2;0;1;0;3;0;1;4;0
PCdoB;1;0;1;1;2;1;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0
PV;0;0;0;0;1;0;0;0;0;1;4;0;0;0;0;0;0;0;1;0;1;0;0;0;0;5;0
PSC;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;3;0;0;0;0;0;1;1;0
PMN;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
PSOL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
PTC;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
PHS;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PRONA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
PAN;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PTdoB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
