PARTIDO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
PT;2;0;1;1;10;4;3;1;1;1;8;2;0;4;1;4;2;5;5;1;1;0;8;4;2;15;0
PMDB;1;2;1;1;2;5;1;2;4;5;7;3;1;4;5;1;2;6;8;1;2;2;4;5;1;1;1
PSDB;1;1;0;1;2;2;0;1;3;3;8;1;1;3;2;2;0;3;2;0;0;1;1;2;0;13;1
PP;1;1;2;0;4;1;0;0;2;1;5;0;2;0;1;2;1;3;3;0;1;1;6;2;0;4;1
DEM;0;0;1;1;6;0;0;0;3;1;3;1;1;1;1;2;2;2;2;2;0;1;1;3;1;6;2
PR;0;1;1;0;3;2;2;0;1;1;7;1;2;1;1;2;0;1;8;1;0;1;0;0;1;4;0
PSB;0;1;0;1;0;4;0;2;0;1;1;0;1;0;0;5;1;1;3;1;1;0;3;0;1;7;1
PDT;0;0;0;1;4;1;1;3;1;0;2;0;0;1;1;1;0;0;3;0;1;0;3;0;0;3;1
PTB;0;2;1;0;1;1;0;0;1;1;1;0;0;1;0;4;1;1;1;0;1;0;3;0;0;2;0
PSC;1;0;1;0;2;0;0;1;0;0;1;0;0;1;0;1;0;4;2;0;0;0;0;0;1;2;0
PC do B;1;0;0;1;3;2;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;2;0;0;2;0
PV;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;2;1;0;0;0;0;0;5;0
PPS;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;3;1;0;1;0;0;0;0;3;1
PRB;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;2;0
PMN;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
PSOL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
PT do B;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PHS;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PRTB;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PRP;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
PTC;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSL;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
